# Famous bright stars from Steve Kent & Alex Drlica-Wagner
# https://heasarc.gsfc.nasa.gov/W3Browse/star-catalog/bsc5p.html
# https://cdcvs.fnal.gov/redmine/projects/des-y6/wiki/Y6A2_Gold_foreground_regions
id,ra,dec,vmag,radius,name
4621,182.0896,-50.7225,  2.6000,  0.7000,Del Cen         
4630,182.5312,-22.6197,  3.0000,  0.5000,2Eps Crv        
4662,183.9517,-17.5419,  2.5900,  0.7000,4Gam Crv        
4757,187.4662,-16.5156,  2.9500,  0.5000,7Del Crv        
4786,188.5967,-23.3967,  2.6500,  0.7000,9Bet Crv        
4819,190.3792,-48.9597,  2.1700,  0.9000,Gam Cen         
4905,193.5071, 55.9597,  1.7700,  1.1000,77Eps UMa       
4910,193.9008,  3.3975,  3.3800,  0.5000,43Del Vir       
4915,194.0071, 38.3183,  2.9000,  0.5000,12Alp2CVn       
4932,195.5442, 10.9592,  2.8300,  0.6000,47Eps Vir       
5020,199.7304,-23.1717,  3.0000,  0.5000,46Gam Hya       
5028,200.1492,-36.7122,  2.7500,  0.6000,Iot Cen         
5054,200.9812, 54.9253,  2.2700,  0.9000,79Zet UMa       
5056,201.2983,-11.1614,  0.9800,  1.5000,67Alp Vir       
5080,202.4283,-23.2814,  4.9700,  0.5000,                
5191,206.8850, 49.3133,  1.8600,  1.1000,85Eta UMa       
5192,207.3613,-34.4508,  4.1900,  0.5000,2    Cen        
5231,208.8850,-47.2883,  2.5500,  0.7000,Zet Cen         
5235,208.6712, 18.3978,  2.6800,  0.7000,8Eta Boo        
5287,211.5929,-26.6825,  3.2700,  0.5000,49Pi  Hya       
5288,211.6708,-36.3700,  2.0600,  1.0000,5The Cen        
5429,217.9575, 30.3714,  3.5800,  0.5000,25Rho Boo       
5435,218.0196, 38.3083,  3.0300,  0.5000,27Gam Boo       
5440,218.8767,-42.1578,  2.3100,  0.8000,Eta Cen         
5469,220.4825,-47.3883,  2.3000,  0.8000,Alp Lup         
5506,221.2467, 27.0742,  2.7000,  0.6000,36Eps Boo       
5531,222.7196,-16.0417,  2.7500,  0.6000,9Alp2Lib        
5563,222.6763, 74.1556,  2.0800,  0.9000,7Bet UMi        
5571,224.6329,-43.1339,  2.6800,  0.7000,Bet Lup         
5589,224.3958, 65.9325,  4.6000,  0.5000,                
5603,226.0175,-25.2819,  3.2900,  0.5000,20Sig Lib       
5671,229.7275,-68.6794,  2.8900,  0.6000,Gam TrA         
5681,228.8758, 33.3147,  3.4700,  0.5000,49Del Boo       
5685,229.2517, -9.3831,  2.6100,  0.7000,27Bet Lib       
5705,230.4517,-36.2614,  3.5600,  0.5000,Phi1Lup         
5735,230.1821, 71.8339,  3.0500,  0.5000,13Gam UMi       
5744,231.2325, 58.9661,  3.2900,  0.5000,12Iot Dra       
5776,233.7854,-41.1669,  2.7800,  0.6000,Gam Lup         
5793,233.6721, 26.7147,  2.2300,  0.9000,5Alp CrB        
5794,234.2563,-28.1350,  3.5800,  0.5000,39Ups Lib       
5854,236.0671,  6.4256,  2.6500,  0.7000,24Alp Ser       
5944,239.7129,-26.1142,  2.8900,  0.6000,6Pi  Sco        
5953,240.0833,-22.6217,  2.3200,  0.8000,7Del Sco        
5958,239.8758, 25.9203,  2.0000,  1.0000,                
5984,241.3592,-19.8056,  2.6200,  0.7000,8Bet1Sco        
6056,243.5862, -3.6944,  2.7400,  0.6000,1Del Oph        
6075,244.5804, -4.6925,  3.2400,  0.5000,2Eps Oph        
6084,245.2971,-25.5928,  2.8900,  0.6000,20Sig Sco       
6119,246.4487, 18.8925,  6.7000,  0.5000,                
